timestamps,TP9,AF7,AF8,TP10,Right AUX
1706612753.611,-50.781,-131.836,-42.969,-84.473,-38.574
1706612753.615,-62.988,-115.234,-43.457,-70.801,-84.473
1706612753.616,-60.059,-139.648,-42.969,-59.082,-60.059
1706612753.620,-52.246,-163.086,-48.828,-62.988,41.992
1706612753.624,-63.477,-147.461,-52.246,-62.988,161.133
1706612753.628,-60.059,-121.094,-49.316,-62.500,64.453
1706612753.632,-51.270,-125.977,-53.711,-64.453,0.488
1706612753.636,-25.879,-155.762,-55.664,-47.852,122.070
1706612753.640,-8.789,-151.855,-52.246,-41.992,145.508
1706612753.643,-40.039,-125.488,-49.316,-63.965,-37.109
1706612753.647,-56.152,-130.859,-51.270,-72.266,-116.699
1706612753.651,-56.152,-162.109,-55.176,-67.871,2.930
1706612753.655,-59.570,-147.949,-57.617,-64.453,54.688
1706612753.659,-55.176,-124.512,-51.758,-56.641,5.371
1706612753.664,-49.316,-133.789,-48.828,-59.570,-51.270
1706612753.668,-44.922,-162.109,-51.758,-61.035,55.664
1706612753.672,-41.016,-138.672,-47.852,-63.477,79.102
1706612753.676,-31.738,-122.559,-45.410,-73.242,-23.926
1706612753.680,-13.184,-150.879,-47.363,-63.965,10.742
1706612753.684,-19.531,-166.992,-55.176,-70.801,43.457
1706612753.688,-29.297,-149.902,-58.105,-93.262,18.555
1706612753.691,-23.926,-126.953,-55.664,-97.168,-57.129
1706612753.695,-16.602,-142.090,-51.758,-80.566,-9.766
1706612753.699,-8.789,-181.152,-53.711,-57.129,217.773
1706612753.703,-27.832,-140.137,-59.082,-72.754,-2.441
1706612753.707,-63.477,-128.418,-59.082,-80.566,-151.855
1706612753.721,-64.453,-155.762,-56.152,-51.758,11.719
1706612753.725,-48.828,-156.738,-56.641,-45.898,126.953
1706612753.729,-33.691,-157.227,-54.199,-54.199,78.613
1706612753.733,-38.574,-138.672,-51.758,-60.059,-131.348
1706612753.737,-51.758,-164.551,-54.199,-53.223,-72.754
1706612753.741,-46.387,-197.266,-54.199,-39.062,267.578
1706612753.745,-50.293,-135.254,-49.316,-48.828,111.328
1706612753.748,-55.176,-118.652,-49.805,-47.363,-122.559
1706612753.752,-37.598,-156.738,-53.711,-46.387,33.691
1706612753.756,-53.711,-142.090,-53.711,-65.430,30.273
1706612753.760,-72.754,-128.906,-51.270,-66.406,-117.676
1706612753.764,-41.992,-150.879,-50.293,-56.641,-74.219
1706612753.767,-28.320,-147.461,-53.711,-51.270,23.438
1706612753.771,-37.598,-128.906,-47.363,-56.641,-16.113
1706612753.775,-30.762,-130.371,-44.922,-67.383,-132.812
1706612753.779,-23.926,-154.297,-51.758,-46.875,-41.504
1706612753.783,-30.762,-169.434,-55.664,-23.926,175.293
1706612753.787,-38.086,-147.461,-51.758,-27.832,62.500
1706612753.791,-44.922,-132.812,-51.270,-38.086,-29.297
1706612753.794,-48.340,-143.066,-50.293,-38.574,-27.344
1706612753.798,-49.316,-167.480,-49.316,-39.062,113.281
1706612753.802,-53.711,-121.582,-50.781,-65.918,115.723
1706612753.806,-36.133,-115.234,-53.711,-64.453,-102.539
1706612753.810,-32.227,-141.602,-52.734,-52.734,-132.324
1706612753.812,-46.387,-139.160,-47.363,-60.547,-0.977
1706612753.816,-45.898,-136.230,-42.480,-55.176,-2.441
1706612753.820,-36.133,-117.676,-43.945,-50.781,-97.168
1706612753.824,-2.930,-129.883,-45.410,-42.480,28.809
1706612753.828,-10.254,-135.254,-47.363,-48.828,142.090
1706612753.832,-44.434,-125.977,-47.363,-64.941,34.668
1706612753.836,-52.734,-121.094,-43.457,-64.941,43.457
1706612753.839,-52.734,-146.973,-49.316,-51.270,143.066
1706612753.843,-41.016,-164.551,-56.641,-39.062,303.711
1706612753.847,-38.574,-108.398,-56.152,-59.082,81.543
1706612753.851,-38.086,-115.234,-55.664,-72.266,-147.461
1706612753.855,-44.434,-145.020,-55.664,-68.359,-137.695
1706612753.857,-46.387,-122.070,-53.223,-67.383,-153.320
1706612753.861,-17.090,-111.816,-57.129,-52.246,-173.828
1706612753.865,-8.789,-129.883,-58.105,-41.016,-107.910
1706612753.869,-40.039,-140.137,-44.922,-56.641,0.488
1706612753.873,-50.781,-135.742,-48.828,-76.660,10.254
1706612753.877,-42.480,-143.066,-53.223,-68.848,42.969
1706612753.881,-41.504,-152.832,-46.387,-55.664,184.082
1706612753.884,-38.574,-187.988,-48.828,-41.016,316.406
1706612753.888,-52.734,-157.227,-50.781,-62.988,196.289
1706612753.892,-55.176,-121.582,-47.852,-80.566,-39.551
1706612753.896,-44.922,-146.973,-48.340,-68.848,-66.895
1706612753.900,-49.316,-147.949,-54.688,-62.500,77.637
1706612753.902,-27.832,-136.230,-55.664,-57.129,86.426
1706612753.906,-20.020,-143.066,-50.781,-62.012,37.598
1706612753.910,-41.992,-154.785,-55.664,-69.336,-25.391
1706612753.914,-62.500,-136.230,-53.223,-62.012,53.711
